symbol,company_name,market_cap,latest_volume,cycle,isPurePrediction,release_date,whenInTheDay,end_price(first_available_sell_point),did_end_price_date_calculation_succeed,prediction [%],confidence,actual_price_change [%],digression [%],signComparison(predict/actual),start_price,n_open_price,n_close_price,n_high_price,n_low_price,n+1_open_price,n+1_close_price,n+1_high_price,n+1_low_price,n+2_close_price,n+2_high_price,n+2_low_price,n+3_close_price,n+3_high_price,n+3_low_price,n+4_close_price,n+4_high_price,n+4_low_price,n+5_close_price,n+5_high_price,n+5_low_price,factor_price_change_list,prediction 0 [%],factor_price_change_list_parsed,prediction_by_factor_1,prediction_by_factor_2,prediction_by_factor_3,prediction_by_factor_4,is_false_positive_factor_1,is_false_negative_factor_1,is_false_positive_factor_2,is_false_negative_factor_2,is_false_positive_factor_3,is_false_negative_factor_3,is_false_positive_factor_4,is_false_negative_factor_4,end_price,didWin,didWin_always_buy
MMM,3M Company Common Stock,78709642000.0,4278520,4,False,2025-01-21,Before market open,145.5,True,5.33,0.65,4.155144295539945,2.16,+/+,141.03,145.5,146.89,150.0,145.0,147.88,149.12,152.08,147.41,149.63,150.46,148.41,149.43,150.1,148.4,151.52,152.0,148.91,151.4,152.96,149.79,"[7.5, 5.0, -1.5, 8.0]",5.33,"[7.5, 5.0, -1.5, 8.0]",7.5,5.0,-1.5,8.0,False,False,False,False,False,True,False,False,146.89,True,True
AOS,A.O. Smith Corporation Common Stock,9498425773.0,1097764,4,False,2025-01-30,Before market open,66.17,True,-0.89,0.45,-2.7588209670393575,3.02,-/-,68.87,66.17,66.97,67.32,65.2,67.75,67.3,68.82,66.75,67.04,67.58,65.58,65.66,67.76,65.65,65.64,66.15,64.94,65.51,66.1,65.44,"[5.0, 5.0, 0.67, -15.0]",-0.89,"[5.0, 5.0, 0.67, -15.0]",5.0,5.0,0.67,-15.0,True,False,True,False,True,False,False,False,66.97,True,False
ACM,AECOM Common Stock,12939894668.0,1037624,4,False,2025-02-03,After market close,107.27,True,1.58,0.68,-1.1949924127465772,-0.16,+/-,105.44,103.01,103.85,105.42,102.43,107.27,104.18,108.87,102.44,104.93,106.46,103.5,108.27,108.41,105.17,107.16,109.73,106.79,107.99,108.53,106.56,"[5.5, 5.25, -2.0, 0.15]",1.58,"[5.5, 5.25, -2.0, 0.15]",5.5,5.25,-2.0,0.15,False,False,False,False,False,True,False,False,104.18,False,False
AFL,AFLAC Incorporated Common Stock,56752783081.0,3539580,4,False,2025-02-05,After market close,106.33,True,-1.13,0.45,-3.446983889097046,-0.73,-/-,106.76,107.46,107.29,107.46,105.94,106.33,103.08,106.36,101.5,103.58,104.49,102.54,102.61,103.82,102.45,102.99,103.36,101.7,102.94,103.03,101.94,"[-5.0, 4.85, 0.0, -2.0]",-1.13,"[-5.0, 4.85, 0.0, -2.0]",-5.0,4.85,0.0,-2.0,False,False,True,False,False,False,False,False,103.08,True,False
AGCO,AGCO Corporation Common Stock,7383911197.0,1027926,4,False,2025-02-06,Before market open,104.0,True,-5.55,0.45,-5.0527538476430145,-6.22,-/-,103.31,104.0,98.09,105.1,97.66,98.74,99.98,100.07,97.29,97.41,100.31,96.78,96.23,98.03,95.79,97.48,97.67,94.76,94.14,95.83,93.74,"[-15.0, 5.5, 0.5, -5.0]",-5.55,"[-15.0, 5.5, 0.5, -5.0]",-15.0,5.5,0.5,-5.0,False,True,False,False,False,False,False,True,98.09,True,False
AGNC,AGNC Investment Corp. Common Stock,9334643840.0,32463382,4,False,2025-01-27,After market close,9.58,True,4.3,0.76,1.9874476987447647,4.09,+/+,9.56,9.57,9.67,9.72,9.54,9.58,9.75,9.77,9.58,9.71,9.84,9.67,9.96,9.97,9.79,9.97,10.06,9.91,9.95,10.0,9.69,"[5.0, 5.0, 0.5, 6.0]",4.3,"[5.0, 5.0, 0.5, 6.0]",5.0,5.0,0.5,6.0,False,False,False,False,False,False,False,False,9.75,True,True
AME,AMETEK Inc.,43067176939.0,1202695,4,False,2025-02-04,Before market open,176.0,True,5.38,0.87,-1.9714332265247356,9.79,+/-,184.13,176.0,180.5,183.68,175.64,182.3,180.23,182.45,178.69,182.9,182.96,180.23,184.51,186.4,182.9,185.97,186.53,182.96,185.32,186.13,182.92,"[10.0, 4.5, 1.0, 5.0]",5.38,"[10.0, 4.5, 1.0, 5.0]",10.0,4.5,1.0,5.0,True,False,True,False,True,False,True,False,180.5,False,False
ANSS,ANSYS Inc. Common Stock,29294101728.0,839038,4,False,2025-02-19,After market close,338.36,True,4.5,0.75,0.5552602043830102,4.56,+/+,338.58,338.8,336.74,338.8,329.0,338.36,340.46,345.0,337.81,334.21,340.31,333.89,,,,,,,,,,"[8.5, 5.0, 1.0, 2.5]",4.5,"[8.5, 5.0, 1.0, 2.5]",8.5,5.0,1.0,2.5,True,False,True,False,True,False,True,False,340.46,True,True
APA,APA Corporation Common Stock,8431102454.0,6792050,3,False,2024-11-06,After market close,24.59,True,-3.15,0.6,-6.946826758147518,-8.58,-/-,23.32,23.63,24.47,24.69,23.44,24.59,21.7,24.63,21.68,21.54,22.02,20.93,21.94,22.06,21.15,21.64,22.31,21.62,21.79,22.04,21.13,"[-10.0, 5.0, 1.5, -5.0]",-3.15,"[-10.0, 5.0, 1.5, -5.0]",-10.0,5.0,1.5,-5.0,False,True,False,False,False,False,False,True,21.7,True,False
ARR,ARMOUR Residential REIT Inc.,1443478065.0,3294811,4,False,2025-02-12,After market close,18.82,True,-6.12,0.54,0.7869884575026345,-4.86,-/+,19.06,18.98,18.91,19.06,18.81,18.82,19.21,19.24,18.6,19.18,19.25,18.86,18.95,19.17,18.9,18.96,19.04,18.89,18.94,19.11,18.85,"[-15.0, 5.5, -2.0, -7.0]",-6.12,"[-15.0, 5.5, -2.0, -7.0]",-15.0,5.5,-2.0,-7.0,False,False,True,False,False,False,False,False,19.21,False,True
