symbol,company_name,market_cap,latest_volume,cycle,isPurePrediction,release_date,whenInTheDay,end_price(first_available_sell_point),did_end_price_date_calculation_succeed,prediction [%],factor_price_change_list,weight_distribution_list,confidence,actual_price_change [%],digression [%],signComparison(predict/actual),start_price,n_open_price,n_close_price,n_high_price,n_low_price,n+1_open_price,n+1_close_price,n+1_high_price,n+1_low_price,n+2_close_price,n+2_high_price,n+2_low_price,n+3_close_price,n+3_high_price,n+3_low_price,n+4_close_price,n+4_high_price,n+4_low_price,n+5_close_price,n+5_high_price,n+5_low_price,prediction 0 [%],factor_price_change_list_parsed,prediction_by_factor_1,prediction_by_factor_2,prediction_by_factor_3,prediction_by_factor_4,prediction_by_factor_5,is_false_positive_factor_1,is_false_negative_factor_1,is_false_positive_factor_2,is_false_negative_factor_2,is_false_positive_factor_3,is_false_negative_factor_3,is_false_positive_factor_4,is_false_negative_factor_4,is_false_positive_factor_5,is_false_negative_factor_5,end_price,didWin,didWin_always_buy
MMM,3M Company Common Stock,74215209820.0,2236251,0,False,2025-01-21,Before market open,144.79,True,-0.28,"[3.5, 4.0, -4.0, 1.0, -1.5]","[0.252, 0.067, 0.276, 0.114, 0.29]",0.45,3.17,-3.45,-/+,140.34,144.79,146.17,149.26,144.29,147.15,148.39,151.33,146.69,148.9,149.72,147.68,148.7,149.36,147.67,150.78,151.25,148.18,150.66,152.21,149.05,-0.28,"[3.5, 4.0, -4.0, 1.0, -1.5]",3.5,4.0,-4.0,1.0,-1.5,False,False,False,False,False,True,False,False,False,True,144.79,False,True
AOS,A.O. Smith Corporation Common Stock,9643519590.0,2030452,0,False,2025-01-30,Before market open,65.84,True,1.13,"[4.0, 2.0, 0.0, 2.0, -0.8]","[0.25, 0.067, 0.276, 0.114, 0.293]",0.7,-3.92,5.05,+/-,68.52,65.84,66.63,66.98,64.87,67.41,66.96,68.47,66.41,66.7,67.24,65.25,65.33,67.42,65.32,65.31,65.81,64.61,65.18,65.76,65.11,1.13,"[4.0, 2.0, 0.0, 2.0, -0.8]",4.0,2.0,0.0,2.0,-0.8,True,False,True,False,False,False,True,False,False,False,65.84,False,False
ACM,AECOM Common Stock,12929279496.0,610347,0,False,2025-02-03,After market close,106.97,True,2.65,"[3.5, 1.0, 4.0, 0.5, 2.0]","[0.24, 0.076, 0.276, 0.124, 0.283]",0.35,1.74,0.91,+/+,105.15,102.73,103.56,105.13,102.15,106.97,103.89,108.57,102.16,104.64,106.17,103.21,107.97,108.11,104.88,106.86,109.43,106.5,107.69,108.23,106.27,2.65,"[3.5, 1.0, 4.0, 0.5, 2.0]",3.5,1.0,4.0,0.5,2.0,False,False,False,False,False,False,False,False,False,False,106.97,True,True
AFL,AFLAC Incorporated Common Stock,59299363691.0,1756303,0,False,2025-02-05,After market close,105.74,True,0.81,"[2.5, 1.2, 0.0, -3.0, 1.5]","[0.248, 0.067, 0.271, 0.114, 0.3]",0.65,-0.4,1.21,+/-,106.17,106.86,106.69,106.86,105.35,105.74,102.51,105.77,100.94,103.0,103.91,101.97,102.04,103.24,101.88,102.42,102.79,101.13,102.37,102.46,101.37,0.81,"[2.5, 1.2, 0.0, -3.0, 1.5]",2.5,1.2,0.0,-3.0,1.5,True,False,True,False,False,False,False,False,True,False,105.74,False,False
AGCO,AGCO Corporation Common Stock,6356625053.0,895050,0,False,2025-02-06,Before market open,103.68,True,1.04,"[3.0, 1.2, 2.0, 1.0, -1.5]","[0.233, 0.081, 0.271, 0.129, 0.286]",0.56,0.67,0.37,+/+,102.99,103.68,97.79,104.78,97.36,98.44,99.67,99.76,96.99,97.11,100.0,96.48,95.93,97.73,95.49,97.18,97.37,94.47,93.85,95.53,93.45,1.04,"[3.0, 1.2, 2.0, 1.0, -1.5]",3.0,1.2,2.0,1.0,-1.5,False,False,False,False,False,False,False,False,False,True,103.68,True,True
AGNC,AGNC Investment Corp. Common Stock,8121799368.0,30131923,0,False,2025-01-27,After market close,9.35,True,0.97,"[3.5, 1.2, 0.0, 2.0, -1.5]","[0.245, 0.13, 0.29, 0.13, 0.205]",0.15,0.21,0.76,+/+,9.34,9.35,9.44,9.49,9.31,9.35,9.52,9.54,9.35,9.48,9.61,9.44,9.72,9.73,9.56,9.73,9.82,9.67,9.71,9.76,9.46,0.97,"[3.5, 1.2, 0.0, 2.0, -1.5]",3.5,1.2,0.0,2.0,-1.5,False,False,False,False,False,False,False,False,False,True,9.35,True,True
AME,AMETEK Inc.,39115218000.0,1654601,0,False,2025-02-04,Before market open,175.68,True,1.86,"[4.5, 2.5, 3.0, -5.0, 1.5]","[0.233, 0.081, 0.279, 0.129, 0.279]",0.6,-4.42,6.28,+/-,183.8,175.68,180.18,183.35,175.33,181.97,179.91,182.12,178.37,182.57,182.63,179.91,184.18,186.07,182.57,185.64,186.2,182.63,184.99,185.8,182.59,1.86,"[4.5, 2.5, 3.0, -5.0, 1.5]",4.5,2.5,3.0,-5.0,1.5,True,False,True,False,True,False,False,False,True,False,175.68,False,False
ANSS,ANSYS Inc. Common Stock,28213355268.0,698904,0,False,2025-02-19,After market close,338.36,True,0.73,"[3.0, 1.2, 3.0, -3.0, -2.5]","[0.173, 0.16, 0.322, 0.16, 0.185]",0.55,-0.06,0.79,+/-,338.58,338.8,336.74,338.8,329.0,338.36,340.46,345.0,337.81,334.21,340.31,333.89,333.63,338.56,332.06,330.4,333.98,330.12,332.32,335.41,328.34,0.73,"[3.0, 1.2, 3.0, -3.0, -2.5]",3.0,1.2,3.0,-3.0,-2.5,True,False,True,False,True,False,False,False,False,False,338.36,False,False
APA,APA Corporation Common Stock,5657559471.0,8149400,0,False,2025-02-26,After market close,21.71,True,2.08,"[4.5, 2.5, 4.0, 1.5, -1.5]","[0.214, 0.095, 0.271, 0.143, 0.276]",0.65,-1.39,3.47,+/-,22.02,22.12,21.66,22.14,21.39,21.71,20.09,21.71,19.78,20.37,20.7,19.52,18.59,20.86,18.36,18.27,18.71,17.71,18.24,18.37,17.38,2.08,"[4.5, 2.5, 4.0, 1.5, -1.5]",4.5,2.5,4.0,1.5,-1.5,True,False,True,False,True,False,True,False,False,False,21.71,False,False
ARR,ARMOUR Residential REIT Inc.,1346414364.0,2485499,0,False,2025-02-12,After market close,18.04,True,0.87,"[0.0, 1.5, 0.0, 2.5, 1.5]","[0.23, 0.14, 0.285, 0.14, 0.205]",0.65,-1.26,2.13,+/-,18.27,18.2,18.13,18.27,18.03,18.04,18.42,18.45,17.83,18.62,18.69,18.31,18.4,18.61,18.35,18.41,18.48,18.34,18.39,18.55,18.3,0.87,"[0.0, 1.5, 0.0, 2.5, 1.5]",0.0,1.5,0.0,2.5,1.5,False,False,True,False,False,False,True,False,True,False,18.04,False,False
